name,2dumap1,2dumap2,3dumap1,3dumap2,3dumap3
GRB130104721,9.948421,2.9763236,9.290256,2.7312362,4.445201
GRB130106829,10.455475,4.65004,9.717826,4.139057,5.236348
GRB130106995,8.158463,4.001638,8.429171,4.155702,3.7587016
GRB130109206,9.4578905,7.236302,8.939258,6.844546,6.25341
GRB130112286,9.268328,7.8527226,8.781139,7.5441647,6.7697945
GRB130112353,7.3894744,7.7803583,7.5944,7.7717967,3.6535408
GRB130114019,8.614887,6.7815804,8.615519,6.6761394,5.0034013
GRB130115716,10.544278,4.520439,9.620522,4.1192765,5.363692
GRB130116415,7.753491,5.978348,7.9990644,6.0961804,4.3804026
GRB130117087,8.290055,3.5298283,8.991648,4.0299067,3.1417327
GRB130118482,8.366047,5.7006264,8.93314,5.942332,4.043364
GRB130121835,9.87815,3.6326396,9.039835,3.277173,4.9221873
GRB130123843,7.205345,7.053871,7.716268,7.139863,3.510812
GRB130127299,9.315551,4.677006,9.343324,4.627203,4.4626956
GRB130127743,2.505286,2.9160185,2.003993,1.941764,7.5281987
GRB130131511,8.24357,3.6533098,8.728452,4.0158706,3.441165
GRB130204484,2.5552294,3.2241187,2.0483646,2.0669787,7.377565
GRB130206482,9.491838,6.5934725,8.717902,6.0313573,5.6408343
GRB130206817,8.501769,6.2473044,8.95829,6.3303237,4.3555303
GRB130208684,8.122429,3.9465907,8.74445,4.3270717,3.3909504
GRB130209961,10.062623,5.3646708,9.352922,4.943896,5.414866
GRB130213905,8.968548,5.682085,9.447805,5.8982434,4.4231
GRB130214137,10.199538,4.9908943,9.736972,4.7502823,5.189365
GRB130214800,9.929792,5.876901,9.109694,5.4058695,5.5650997
GRB130215063,9.62651,2.5361776,9.8756075,3.125547,3.3939164
GRB130215649,8.748782,2.9600239,9.320538,3.4185386,2.9638178
GRB130216790,9.3067045,7.191723,8.908812,6.894302,6.1461086
GRB130216927,10.295432,6.0316052,9.079051,5.256533,5.995465
GRB130217688,7.7507052,6.9302416,8.205101,7.050437,3.9503486
GRB130218261,9.75181,2.8401134,9.943719,3.5145462,3.5074468
GRB130219197,8.251521,3.9189157,8.32361,3.8865194,3.9274998
GRB130219626,3.383799,4.1562753,3.4389071,4.2449007,4.4472413
GRB130219775,8.030446,7.9814906,8.396033,7.921944,5.7116623
GRB130220964,9.499382,7.9151845,8.83757,7.533421,7.0426517
GRB130224370,9.97333,3.4230895,9.225027,3.123494,4.8362136
GRB130228111,8.655019,5.1538963,8.993336,5.470599,4.20997
GRB130228212,7.9628396,2.6866112,8.653963,3.0962036,2.9325569
GRB130304410,10.094692,4.450102,10.077014,4.122779,4.6421475
GRB130304658,10.00037,4.9250298,9.567679,4.7319436,5.0855174
